ID,City,State,Lat,Lng,TripAdvisor Geo
274,Anchorage,AK,61.21806,-149.90028,28923
411,Fairbanks,AK,64.83778,-147.71639,28923
197,Birmingham,AL,33.52066,-86.80249,28922
230,Huntsville,AL,34.73037,-86.5861,28922
241,Mobile,AL,30.69436,-88.04305,28922
278,Montgomery,AL,32.36681,-86.29997,28922
309,Dothan,AL,31.22323,-85.39049,28922
323,Tuscaloosa,AL,33.20984,-87.56917,28922
372,Florence,AL,34.79981,-87.67725,28922
399,Anniston,AL,33.65983,-85.83163,28922
408,Gadsden,AL,34.01426,-86.00664,28922
216,Little Rock,AR,34.74648,-92.28959,28925
256,Fayetteville,AR,36.06258,-94.15743,28925
296,Fort Smith,AR,35.38592,-94.39855,28925
356,Jonesboro,AR,35.8423,-90.70428,28925
385,Hot Springs,AR,34.5037,-93.05518,28925
163,Phoenix,AZ,33.44838,-112.07404,28924
209,Tucson,AZ,32.22174,-110.92648,28924
334,Prescott,AZ,34.54002,-112.4685,28924
343,Yuma,AZ,32.72532,-114.6244,28924
379,Flagstaff,AZ,35.19807,-111.65127,28924
383,Sierra Vista,AZ,31.55454,-110.30369,28924
162,Riverside,CA,33.95335,-117.39616,28926
167,San Diego,CA,32.71533,-117.15726,28926
173,Sacramento,CA,38.58157,-121.4944,28926
205,Fresno,CA,36.74773,-119.77237,28926
218,Bakersfield,CA,35.37329,-119.01871,28926
221,Modesto,CA,37.6391,-120.99688,28926
242,Visalia,CA,36.33023,-119.29206,28926
264,Santa Maria,CA,34.95303,-120.43572,28926
265,Salinas,CA,36.67774,-121.6555,28926
299,San Luis Obispo,CA,35.28275,-120.65962,28926
315,Redding,CA,40.58654,-122.39168,28926
327,Chico,CA,39.72849,-121.83748,28926
353,El Centro,CA,32.792,-115.56305,28926
166,Denver,CO,39.73915,-104.9847,28927
234,Colorado Springs,CO,38.83388,-104.82136,28927
288,Fort Collins,CO,40.58526,-105.08442,28927
338,Pueblo,CO,38.25445,-104.60914,28927
371,Grand Junction,CO,39.06387,-108.55065,28927
189,Hartford,CT,41.76371,-72.68509,28928
153,Washington D.C.,DC,38.89511,-77.03637,28970
157,Miami,FL,25.77427,-80.19366,28930
169,Orlando,FL,28.53834,-81.37924,28930
171,Tampa,FL,27.94752,-82.45843,28930
188,Jacksonville,FL,30.33218,-81.65565,28930
210,Cape Coral,FL,26.56285,-81.94953,28930
214,Port Saint Lucie,FL,27.29393,-80.35033,28930
239,Lakeland,FL,28.03947,-81.9498,28930
246,Palm Bay,FL,28.03446,-80.58866,28930
259,Pensacola,FL,30.42131,-87.21691,28930
272,Tallahassee,FL,30.43826,-84.28073,28930
282,Gainesville,FL,29.65163,-82.32483,28930
283,Ocala,FL,29.1872,-82.14009,28930
312,Crestview,FL,30.76213,-86.57051,28930
348,Panama City,FL,30.15946,-85.65983,28930
377,Homosassa Springs,FL,28.80359,-82.57593,28930
413,Sebring,FL,27.49559,-81.44091,28930
159,Atlanta,GA,33.749,-84.38798,28931
244,Augusta,GA,33.47097,-81.97484,28931
253,Savannah,GA,32.08354,-81.09983,28931
255,Columbus,GA,32.46098,-84.98771,28931
268,Macon,GA,32.84069,-83.6324,28931
362,Albany,GA,31.57851,-84.15574,28931
376,Valdosta,GA,30.8327,-83.27849,28931
394,Rome,GA,34.25704,-85.16467,28931
403,Brunswick,GA,31.14995,-81.49149,28931
211,Honolulu,HI,21.30694,-157.85833,28932
361,Kahului,HI,20.89472,-156.47,28932
222,Des Moines,IA,41.60054,-93.60911,28936
257,Davenport,IA,41.52364,-90.57764,28936
